出表日期,資料年月,公司代號,公司名稱,產業別,營業收入-當月營收,營業收入-上月營收,營業收入-去年當月營收,營業收入-上月比較增減(%),營業收入-去年同月增減(%),累計營業收入-當月累計營收,累計營業收入-去年累計營收,累計營業收入-前期比較增減(%),備註
"1150617","11505","3033","威健","電子通路業","11695609","11405630","9150871","2.542419840026373","27.80869711746565","53958724","44863267","20.27372861633104","-"
"1150617","11505","3034","聯詠","半導體業","9412486","9225016","8607337","2.0321915972828664","9.354217221888721","41782805","44847002","-6.832557056991234","-"
"1150617","11505","3035","智原","半導體業","929698","967008","1692458","-3.8582927959230946","-45.06817894447011","4485208","10830042","-58.58549763703594","因量產減少"
"1150617","11505","3036","文曄","電子通路業","197924567","211019731","78326329","-6.205658559957126","152.69225498874076","903217218","443839321","103.50094623545083","主要受惠於資料中心、通訊及工業應用需求成長"
"1150617","11505","3037","欣興","電子零組件業","14059973","13932815","10621322","0.9126511763774944","32.37498119348985","65439243","51626842","26.754301570489243","-"
"1150617","11505","3038","全台","光電業","237431","246927","255765","-3.8456709877818143","-7.168299024495142","1216721","1305500","-6.800382995021065","-"
"1150617","11505","3040","遠見","其他","10376","10384","12122","-0.07704160246533127","-14.403563768355056","55949","54856","1.9924894268630597","-"
"1150617","11505","3041","揚智","半導體業","173813","119639","87809","45.28122100652797","97.9444020544591","645725","509652","26.69919866889564","主係去年同期受國際情勢影響，代理商下單趨於保守；本年度市場需求回穩，且新增合併個體營收，收入上升。"
"1150617","11505","3042","晶技","電子零組件業","1217159","1288708","1101546","-5.551994710981852","10.495521748524347","5845075","5538700","5.531532670121147","-"
"1150617","11505","3043","科風","其他電子業","69452","96169","66947","-27.781301666857303","3.741765874497737","353486","405402","-12.806054237522261","-"
"1150617","11505","3044","健鼎","電子零組件業","8654212","8201133","5904523","5.524590321849432","46.5691978844015","37819576","29394859","28.660511690156433","-"
"1150617","11505","3045","台灣大","通信網路業","16440683","15669304","15823032","4.922867027150663","3.9034933380656756","81888290","79383691","3.1550548588122465","-"
"1150617","11505","3046","建碁","電腦及週邊設備業","803612","698235","776180","15.091910316727176","3.5342317503671827","3319858","2934566","13.129437197868441","-"
"1150617","11505","3047","訊舟","通信網路業","276427","252612","300997","9.427501464696848","-8.162872055203207","1289764","1923904","-32.96110408835368","-"
"1150617","11505","3048","益登","電子通路業","13850848","13078408","8563502","5.906223448603225","61.74280101762106","60431492","47849802","26.294131791809715","受惠於AI伺服器、網通設備等市場需求攀升，帶動本月份營收較去年同期成長61.74%"
"1150617","11505","3049","精金","光電業","33072","32853","121311","0.6666057894256232","-72.73783910774786","316813","575594","-44.9589467576104","本期營收較去年同期減少72.74，自115年1月31日後全面停產。"
"1150617","11505","3050","鈺德","光電業","99800","103138","104747","-3.236440497197929","-4.722808290452233","481982","506187","-4.781829640034217","-"
"1150617","11505","3051","力特","光電業","200178","175501","146538","14.06088854194563","36.60483970028252","752059","790075","-4.811695092238079","主要係力特車載客戶認證的車載面板新機種用偏光板，今年Q1開始陸續放量"
"1150617","11505","3052","夆典","建材營造","304465","486163","513442","-37.37388489045855","-40.70118922877365","1661752","1643825","1.0905662099067723","-"
"1150617","11505","3054","立萬利","食品工業","58176","86010","6566","-32.361353331008026","786.0188851660067","280067","28688","876.2513943112102","主係因本期產品結構改變致銷售金額增加。"
"1150617","11505","3055","蔚華科","電子通路業","22650","126141","90744","-82.04390325112374","-75.03967204443269","232861","186153","25.091188431021795","本月單月相較去年同期減少，主係客製化設備銷售減少所致。"
"1150617","11505","3056","富華新","建材營造","80008","79478","78150","0.6668512041067969","2.3774792066538706","444011","3514644","-87.36682861763525","營收減少係因無建案交屋"
"1150617","11505","3057","喬鼎","電腦及週邊設備業","40612","54645","54056","-25.680300118949585","-24.870504661832175","262986","230152","14.266224060620807","-"
"1150617","11505","3058","立德","電子零組件業","267301","307907","264589","-13.187748248659497","1.024985921561365","1351900","1374104","-1.61588933588724","-"
"1150617","11505","3059","華晶科","光電業","794302","770262","780634","3.1210159659959857","1.7508845374400808","3584855","3303742","8.508927149880348","-"
"1150617","11505","3060","銘異","電腦及週邊設備業","380842","356948","298009","6.6939722312493695","27.795469264351077","1819043","1623928","12.015003128217508","-"
"1150617","11505","3062","建漢","通信網路業","244235","305286","364769","-19.99796911748328","-33.043926430151686","1661505","1522791","9.109194892798815","-"
"1150617","11505","3090","日電貿","電子零組件業","1629431","1843306","1357910","-11.602794110147745","19.99550780243168","7965128","6592055","20.82921031453773","-"
"1150617","11505","3092","鴻碩","電子零組件業","155913","131534","134167","18.53437134125017","16.208158489047232","704907","746897","-5.62192645036732","-"
"1150617","11505","3094","聯傑","半導體業","19740","19531","16945","1.0700936971993242","16.494541162584834","86476","84578","2.2440823854903167","-"
"1150617","11505","3130","一零四","數位雲端","257163","245030","232802","4.951638574868383","10.464257179921134","1145896","1073781","6.715987710715686","-"
"1150617","11505","3135","凌航","半導體業","1841758","3852946","550652","-52.19870717108415","234.46859359450252","9652396","2518803","283.2136137681272","市場價格上漲及需求增加。"
"1150617","11505","3138","耀登","通信網路業","139198","169789","130227","-18.017068243525788","6.88874043017193","703765","598847","17.52000093513034","-"
"1150617","11505","3149","正達","光電業","182215","170174","195382","7.0756989904450736","-6.739105956536426","942471","876563","7.518911932171447","-"
"1150617","11505","3150","鈺寶-創","半導體業","28811","31450","30276","-8.391096979332273","-4.838816224071872","141349","148100","-4.558406482106685","-"
"1150617","11505","3164","景岳","生技醫療業","27810","37785","28746","-26.399364827312425","-3.256105197244834","154765","168145","-7.957417704957031","-"
"1150617","11505","3167","大量","電機機械","955547","862675","433806","10.765583794592402","120.27058178079602","3764428","1679926","124.08296555919725","主係因客戶需求量增加所致"
"1150617","11505","3168","眾福科","光電業","300005","312439","273160","-3.9796568290130234","9.827573583247913","1482104","1379465","7.44049323469606","-"
"1150617","11505","3189","景碩","半導體業","4199867","4072319","3157305","3.1320729048976763","33.02062993597388","19377151","14989890","29.268133388570565","-"
"1150617","11505","3209","全科","電子通路業","4710620","6945416","3566217","-32.176560770441974","32.0901111738293","28723449","21708979","32.31137678100845","-"
"1150617","11505","3229","晟鈦","電子零組件業","127130","148544","79556","-14.415930633347696","59.79938659560561","618596","409834","50.938184728451034","本月因客戶需求增加，出貨量增加"
"1150617","11505","3231","緯創","電腦及週邊設備業","290183471","283437176","208405603","2.3801729523300077","39.239764585408004","1419923673","688594218","106.20615681672773","主係客戶需求增加，較去年同期成長。"
"1150617","11505","3257","虹冠電","半導體業","60201","50337","105803","19.595923475773287","-43.10085725357504","241058","406060","-40.63488154459932","-"
"1150617","11505","3266","昇陽","建材營造","168336","163312","141603","3.076320172430685","18.8788373127688","840408","484069","73.61326587738525","因營建收入受政策、全部完工法及建案規模不同等影響，故營收波動較大。"
"1150617","11505","3296","勝德","電子零組件業","176230","146327","141035","20.435736398614065","24.954798454284397","655859","655483","0.05736228094397566","-"
"1150617","11505","3305","昇貿","其他電子業","1348799","1465062","787091","-7.935705110090904","71.36506452239956","6539123","4030299","62.24907879043217","銷售量增加及原料價格上漲"
"1150617","11505","3308","聯德","電子零組件業","517","514","555","0.5836575875486382","-6.846846846846847","2600","2745","-5.2823315118397085","-"
"1150617","11505","3311","閎暉","通信網路業","213025","199228","187279","6.925231393177666","13.747403606384058","939611","984634","-4.572561987499924","-"
"1150617","11505","3312","弘憶股","電子通路業","1982063","2431841","1675434","-18.495370379889145","18.30146696318685","10074561","9395622","7.226120846496379","-"
"1150617","11505","3321","同泰","電子零組件業","236870","203881","173595","16.18051706632791","36.449782539819694","881655","813923","8.321671706045903","-"
"1150617","11505","3338","泰碩","電子零組件業","325460","324635","316250","0.254131563140142","2.9122529644268775","1509552","1601181","-5.722588514352843","-"
"1150617","11505","3346","麗清","汽車工業","732327","686762","751246","6.634758475279646","-2.518349515338518","3113306","3609167","-13.73893200286936","-"
"1150617","11505","3356","奇偶","光電業","77320","107307","80594","-27.945054842647732","-4.0623371466858575","465890","429790","8.399450894622955","-"
"1150617","11505","3376","新日興","電子零組件業","802260","907189","963549","-11.566388040419362","-16.739055304919624","4062150","4777318","-14.97007316657589","-"
"1150617","11505","3380","明泰","通信網路業","1800533","1093745","1956543","64.62091255274309","-7.9737577962763915","8208826","8064550","1.7890148861374782","-"
"1150617","11505","3406","玉晶光","光電業","1628911","2314440","1250699","-29.61964881353589","30.240049764171875","10083599","8426418","19.666494114106374","-"
"1150617","11505","3413","京鼎","半導體業","1972949","1869449","1689927","5.536390669122293","16.747587321819225","9403962","8318481","13.049029023447911","-"
"1150617","11505","3416","融程電","電腦及週邊設備業","370977","390694","243391","-5.046660557879056","52.42017987518027","1708347","1294167","32.00359768097935","出貨增加"
"1150617","11505","3419","譁裕","通信網路業","179682","143347","160284","25.34758313742178","12.10226847345961","758752","717159","5.799690166336894","-"
"1150617","11505","3432","台端","電子零組件業","29520","16938","9284","74.2826780021254","217.9663937957777","114042","35661","219.79473374274417","主係因增加新產品出貨所致"
"1150617","11505","3437","榮創","光電業","129967","115806","120232","12.228209246498455","8.096846097544747","594254","724057","-17.927179766233873","-"
"1150617","11505","3443","創意","半導體業","4674012","4294033","2013507","8.849000461803623","132.1328905238472","20415857","10708951","90.64292104800927","主要為晶圓產品收入增加"
"1150617","11505","3447","展達","通信網路業","290500","305573","216468","-4.932700205842794","34.19997413012547","1419632","1254354","13.176344158028755","-"
"1150617","11505","3450","聯鈞","半導體業","960221","877785","640520","9.391365767243688","49.91272715918316","3924887","4001821","-1.9224747933503272","-"
"1150617","11505","3481","群創","光電業","20647675","21237435","18723709","-2.776983190295815","10.2755602535801","108529648","93652960","15.88490956399029","-"
"1150617","11505","3494","誠研","電腦及週邊設備業","84226","81225","85294","3.6946752847029853","-1.2521396581236663","413631","381170","8.516147650654563","-"
"1150617","11505","3501","維熹","電子零組件業","442283","429480","476159","2.9810468473502842","-7.11443026384044","2131723","2465648","-13.54309293135111","-"
"1150617","11505","3504","揚明光","光電業","248949","243545","214491","2.2188917859122546","16.06500972068758","1177451","1102755","6.7735807137578155","-"
"1150617","11505","3515","華擎","電腦及週邊設備業","3665115","2741893","4388787","33.67097111375244","-16.489111911787926","19775521","19983711","-1.0417984927824466","“本年累計營業收入淨額”採年平均匯率計算,“本月營業收入淨額”採該月平均匯率計算,故累計營收淨額與各月營收淨額加總會有差異"
"1150617","11505","3518","柏騰","其他電子業","18495","18036","27311","2.5449101796407185","-32.28003368606056","98474","130580","-24.587226221473426","-"
"1150617","11505","3528","安馳","電子通路業","1000344","1108974","599617","-9.795540743065212","66.83049346499516","5611000","2930965","91.43865586931267","AI伺服器應用帶動測試相關需求增加，週邊電源應用及工控需求上升。"
"1150617","11505","3530","晶相光","半導體業","199683","230866","157710","-13.50696941082706","26.6140384249572","972492","670224","45.09954880756285","-"
"1150617","11505","3532","台勝科","半導體業","1217609","1168448","978557","4.207375937996385","24.429031727329118","5694824","4987612","14.179370809116667","-"
